Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","15.585","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","7.644","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","7.941","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","15.283","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","92.664","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","44.236","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","48.428","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","79.428","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","25.682","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","35997.107","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","20886.852","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","15110.254","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","5454.064","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","29255.576","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","032","Argentine","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","45036.032","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","032","Argentine","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","22297.001","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","032","Argentine","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","22739.031","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","032","Argentine","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","3590.542","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","032","Argentine","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","41919.857","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","051","Arménie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","2805.608","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","051","Arménie","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","1265.512","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","051","Arménie","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","1540.097","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","051","Arménie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","1078.125","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","051","Arménie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","1860.554","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","533","Aruba","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","106.585","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","533","Aruba","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","50.211","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","533","Aruba","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","56.373","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","533","Aruba","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","59.927","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","533","Aruba","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","46.511","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","036","Australie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","25670.051","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","036","Australie","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","12738.21","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","036","Australie","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","12931.84","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","036","Australie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","3494.472","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","036","Australie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","21903.705","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","040","Autriche","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","8907.777","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","040","Autriche","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","4382.851","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","040","Autriche","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","4524.926","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","040","Autriche","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","3622.85","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","040","Autriche","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","5159.36","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","10284.951","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","5077.681","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","5207.27","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","4403.813","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","5695.93","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","044","Bahamas","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","406.471","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","044","Bahamas","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","194.506","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","044","Bahamas","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","211.965","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","044","Bahamas","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","68.165","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","044","Bahamas","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","338.674","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","048","Bahreïn","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","1477.469","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","048","Bahreïn","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","920.43","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","048","Bahreïn","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","557.039","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","048","Bahreïn","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","178.17","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","048","Bahreïn","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","1519.595","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","050","Bangladesh","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","167420.951","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","050","Bangladesh","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","83063.714","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","050","Bangladesh","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","84357.236","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","050","Bangladesh","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","104960.356","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","050","Bangladesh","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","64814.953","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","052","Barbade","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","280.693","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","052","Barbade","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","134.528","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","052","Barbade","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","146.165","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","052","Barbade","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","197.873","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","052","Barbade","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","89.695","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","112","Bélarus","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","9633.74","X","Ciffre de sources internationales",""
